单价（元/平方米）,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途
23000.0,成华,万象城,3室2厅1厨1卫,中楼层 (共32层),89.83,平层,塔楼,西,钢混结构,精装,有,2021-12-01,商品房,普通住宅
10600.0,成华,东客站,2室1厅1厨1卫,高楼层 (共18层),86.11,平层,塔楼,西,框架结构,精装,有,2021-11-20,经济适用房,普通住宅
20500.0,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),90.16,平层,塔楼,东,钢混结构,精装,有,2021-12-01,商品房,普通住宅
15880.000000000002,成华,李家沱,2室1厅1厨2卫,中楼层 (共18层),86.12,平层,板塔结合,西,框架结构,简装,有,2021-11-22,商品房,普通住宅
11900.0,成华,万象城,2室2厅1厨1卫,中楼层 (共33层),67.78,平层,塔楼,西南,钢混结构,毛坯,有,2021-11-28,拆迁安置房,普通住宅
12000.0,成华,新华公园,2室1厅1厨1卫,中楼层 (共33层),68.74,平层,塔楼,南,框架结构,简装,有,2021-11-30,商品房,普通住宅
11200.0,成华,万象城,2室1厅1厨1卫,中楼层 (共21层),60.44,平层,板塔结合,西,框架结构,精装,有,2021-12-04,商品房,普通住宅
15500.0,成华,万象城,2室1厅1厨1卫,中楼层 (共32层),82.93,平层,板塔结合,南,框架结构,精装,有,2021-12-03,商品房,普通住宅
7200.0,成华,驷马桥,2室2厅1厨1卫,中楼层 (共6层),71.23,平层,板楼,南,钢混结构,简装,无,2021-12-03,商品房,普通住宅
7200.0,成华,理工大,1室1厅1厨1卫,中楼层 (共22层),55.79,平层,板塔结合,西南,钢混结构,简装,有,2021-12-09,商品房,普通住宅
16500.0,成华,新华公园,2室1厅1厨1卫,中楼层 (共37层),67.5,平层,板塔结合,西南,钢混结构,精装,有,2021-12-04,商品房,普通住宅
13500.0,成华,动物园,2室2厅1厨1卫,高楼层 (共18层),71.62,平层,塔楼,北,钢混结构,简装,有,2021-12-06,商品房,普通住宅
3900.0,成华,驷马桥,1室1厅1厨1卫,高楼层 (共6层),44.71,平层,板楼,南,砖混结构,毛坯,无,2021-12-05,商品房,普通住宅
8780.0,成华,驷马桥,2室1厅1厨1卫,高楼层 (共7层),84.3,平层,板楼,南,框架结构,简装,无,2021-12-03,商品房,普通住宅
12900.0,成华,万年场,2室1厅1厨1卫,中楼层 (共18层),75.21,平层,板塔结合,西北,框架结构,简装,有,2021-12-05,商品房,普通住宅
12000.0,成华,动物园,2室1厅1厨1卫,高楼层 (共20层),67.48,平层,塔楼,北,钢混结构,简装,有,2021-12-05,商品房,普通住宅
15800.0,成华,万象城,2室1厅1厨1卫,低楼层 (共24层),87.85,平层,板塔结合,东北,框架结构,简装,有,2021-12-04,商品房,普通住宅
17900.0,成华,万象城,3室1厅1厨2卫,中楼层 (共5层),124,平层,平房,东南,钢混结构,简装,无,2021-11-29,商品房,普通住宅
12500.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共22层),78.79,平层,板塔结合,南,钢混结构,简装,有,2021-12-04,商品房,普通住宅
11800.0,成华,成渝立交,2室1厅1厨1卫,高楼层 (共33层),62.74,平层,塔楼,南,框架结构,精装,有,2021-12-12,商品房,普通住宅
18500.0,成华,驷马桥,3室2厅2厨2卫,高楼层 (共18层),93.14,平层,板塔结合,东,钢混结构,精装,有,2021-12-03,商品房,普通住宅
6800.0,成华,东客站,1室1厅1厨1卫,高楼层 (共18层),53.41,平层,塔楼,东南,框架结构,毛坯,有,2021-12-12,经济适用房,普通住宅
11700.0,成华,动物园,2室1厅1厨1卫,高楼层 (共20层),68.58,平层,塔楼,北,框架结构,简装,有,2021-12-14,商品房,普通住宅
7600.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共6层),74.58,平层,板楼,西南 东北,砖混结构,毛坯,无,2021-12-13,拆迁安置房,普通住宅
16800.0,成华,驷马桥,3室2厅1厨1卫,低楼层 (共18层),88.57,平层,塔楼,南,框架结构,精装,有,2021-12-05,商品房,普通住宅
7600.0,成华,猛追湾,2室1厅1厨1卫,中楼层 (共7层),72.2,平层,板楼,东南,砖混结构,简装,无,2020-11-23,已购公房,普通住宅
10900.0,成华,猛追湾,3室1厅1厨1卫,中楼层 (共6层),91.91,平层,板楼,东,砖混结构,简装,无,2021-09-30,商品房,普通住宅
7300.0,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),74.87,平层,板楼,东南,砖混结构,精装,无,2021-10-30,已购公房,普通住宅
13700.0,成华,动物园,3室1厅1厨1卫,低楼层 (共18层),84.08,平层,板塔结合,北,钢混结构,简装,有,2021-12-11,商品房,普通住宅
5300.0,成华,理工大,2室1厅1厨1卫,高楼层 (共6层),56.39,平层,板楼,东,砖混结构,简装,无,2021-12-04,已购公房,普通住宅
14680.000000000002,成华,驷马桥,3室1厅1厨1卫,高楼层 (共18层),98.71,平层,板塔结合,东北,框架结构,精装,有,2021-07-02,经济适用房,普通住宅
14600.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共17层),77.7,平层,板塔结合,西北,钢混结构,精装,有,2021-06-10,商品房,普通住宅
5400.0,成华,新华公园,3室2厅1厨1卫,高楼层 (共6层),64.85,平层,板楼,西南 东北,钢混结构,简装,无,2021-08-31,商品房,普通住宅
14300.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共18层),81.8,平层,塔楼,北 东,框架结构,精装,有,2021-11-15,商品房,普通住宅
12300.0,成华,动物园,3室1厅1厨1卫,中楼层 (共29层),70.99,平层,板塔结合,东南,钢混结构,简装,有,2021-09-23,商品房,普通住宅
