房屋所属市辖区,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,交易权属,房屋用途,室,厅,厨,卫,总价
1,71.28,4,3,5,7,2,1,5,4,2,1,1,1,819720.0
1,66.85,4,2,7,7,2,0,5,4,2,2,1,1,554855.0
1,55.31,4,4,9,7,1,1,5,4,1,1,1,1,414825.0
1,80.54,4,2,5,7,2,1,5,4,2,2,1,1,1570530.0000000002
1,77.75,4,3,9,7,2,1,5,4,2,1,1,1,1360625.0
1,68.19,4,4,5,2,3,0,5,4,2,1,1,1,470511.0
1,68.4,4,3,5,7,2,1,5,4,2,1,1,1,1217520.0
1,80.92,4,2,7,5,2,1,5,4,3,1,1,1,1359456.0
1,122.69,4,2,5,5,3,1,5,4,3,2,1,2,2447665.5
1,105.61,4,3,9,5,2,1,5,4,3,2,1,2,2207249.0
1,132.85,4,3,9,7,2,1,5,4,3,2,1,2,3135260.0
1,79.73,4,3,2,7,2,1,5,4,3,1,1,1,1219869.0
1,114.42,4,4,5,7,3,1,5,4,3,2,1,2,1807836.0
1,80.38,4,2,8,7,2,1,5,4,2,2,1,1,1173548.0
1,70.77,4,2,7,5,3,1,5,4,2,1,1,1,891702.0
1,44.71,4,4,5,6,3,0,5,4,1,1,1,1,196724.0
1,62.45,4,2,1,7,4,1,5,4,2,1,1,1,811850.0
1,91.0,4,4,5,7,3,0,5,4,3,2,1,1,1046500.0
1,92.52,4,4,5,7,3,0,5,4,3,2,1,1,943704.0
1,87.99,4,3,9,7,2,1,5,4,3,1,1,1,1258257.0
1,54.84,4,2,9,7,3,1,7,4,2,1,1,1,437623.2
1,65.61,4,2,9,5,3,1,5,4,3,1,1,1,720397.8
1,75.04,4,2,9,7,1,1,7,4,2,1,1,1,763907.2000000001
1,140.32,4,3,7,7,3,1,7,4,4,2,1,2,2455600.0
1,72.84,4,2,2,5,3,1,7,4,2,2,1,1,670128.0
1,58.0,4,4,5,6,3,0,5,4,2,1,1,1,371200.0
1,80.71,4,2,9,7,3,1,7,4,2,1,1,1,847454.9999999999
1,90.76,4,3,3,7,2,1,5,4,3,1,1,2,1542920.0
1,43.42,4,1,3,5,1,0,6,4,1,1,1,1,188877.0
1,74.76,4,4,2,5,3,1,5,4,3,1,1,1,1150556.4000000001
1,59.6,4,2,2,7,1,1,4,4,2,1,1,1,421968.0
1,104.86,4,3,5,7,2,1,5,4,3,2,1,2,2149630.0
1,72.71,4,2,7,7,3,1,5,4,3,2,1,1,857977.9999999999
1,67.0,4,4,5,6,3,0,5,4,3,1,1,1,482400.0
1,74.4,4,2,2,5,2,1,5,4,2,1,1,1,907680.0000000001
1,144.76,4,4,5,7,2,1,5,4,3,2,1,2,5428500.0
1,96.67,4,3,9,7,3,1,5,4,3,1,1,1,1401715.0
1,119.48,1,4,9,4,3,0,5,4,3,2,1,2,1780252.0
1,85.29,4,3,3,7,2,1,5,4,3,2,1,1,1219647.0
1,85.58,4,2,9,6,3,1,5,4,3,1,1,1,1737274.0
1,85.58,4,2,5,6,3,1,5,4,3,2,1,1,1703042.0
1,76.47,4,2,10,5,2,1,5,4,3,1,1,1,1024698.0
1,153.28,1,4,10,4,3,0,5,4,4,2,1,2,2084608.0
1,102.35,4,2,10,7,3,1,5,4,3,2,1,2,1535250.0
1,86.99,4,3,8,5,2,1,5,4,2,2,1,1,1113472.0
1,55.25,4,3,9,5,2,1,5,4,2,1,1,1,679575.0
1,99.75,4,3,8,5,3,1,5,4,3,2,1,2,1436400.0
1,74.37,4,3,5,7,3,1,5,4,2,2,1,1,929625.0
1,109.95,4,3,5,5,3,1,5,4,3,2,1,2,1715220.0
1,85.89,4,4,5,7,3,1,5,4,3,2,1,1,1159515.0
1,80.12,4,4,9,7,3,0,5,4,3,1,1,1,648972.0
1,123.68,4,2,2,5,2,1,5,4,3,1,1,1,2009800.0
1,69.69,4,2,7,5,2,1,5,4,3,2,1,1,1031412.0
1,80.93,4,2,7,5,2,1,5,4,3,2,1,1,1440554.0000000002
1,84.83,4,3,2,7,2,1,5,4,3,1,1,1,1484525.0
1,72.21,4,3,1,7,2,1,5,4,3,1,1,1,1003718.9999999999
1,91.05,4,3,10,7,3,1,5,4,3,2,1,1,1201860.0
1,105.55,4,2,5,7,2,1,5,4,3,1,1,2,2163775.0
1,123.95,4,4,7,5,3,1,4,4,3,2,1,2,1722905.0
1,76.51,4,4,5,6,3,0,5,4,3,1,1,1,703892.0
1,135.34,4,3,9,5,2,1,5,4,3,2,1,2,3884258.0
1,56.19,4,2,2,5,2,1,5,4,2,1,1,1,646185.0
1,50.79,4,2,3,7,3,1,5,4,1,1,1,1,416478.0
1,82.08,4,2,9,7,2,1,5,4,3,2,1,1,1001376.0
1,60.6,4,4,2,6,2,0,5,4,2,1,1,1,381780.0
1,88.22,4,3,9,7,3,1,5,4,2,1,1,1,970420.0
1,78.51,4,3,9,7,3,1,5,4,2,1,1,1,1020630.0000000001
1,73.83,4,4,5,7,1,0,6,4,2,2,1,1,583257.0
1,91.46,4,4,7,5,2,1,7,4,2,1,1,1,1445068.0
1,90.59,4,2,3,7,2,1,5,4,2,1,1,1,1884272.0
1,77.23,4,3,2,7,2,1,5,4,2,1,1,1,919037.0
1,64.13,4,2,2,5,2,1,5,4,2,1,1,1,840102.9999999999
1,49.99,4,3,9,7,2,1,5,4,2,1,1,1,474905.0
1,59.2,4,3,2,7,3,1,5,4,2,1,1,1,627520.0
1,76.0,4,2,2,7,3,1,5,4,2,2,1,1,1337600.0
1,89.14,4,2,5,5,3,1,5,4,2,2,1,1,1212304.0
1,83.41,4,2,7,5,2,1,5,4,3,2,1,1,1484698.0
1,109.64,4,4,9,7,3,0,5,4,3,2,1,2,1556888.0
1,90.82,4,3,8,7,2,1,5,4,3,1,1,1,1353218.0
1,69.81,4,3,10,7,2,1,5,4,3,1,1,1,1026207.0
1,97.85,4,3,9,7,2,1,5,4,3,2,1,2,1751515.0
1,92.1,4,4,2,7,3,1,7,4,3,1,1,1,1068360.0
1,71.13,4,3,5,7,2,1,7,4,2,2,1,1,697074.0
1,45.04,4,2,9,5,3,1,5,4,1,1,1,1,337800.0
1,73.19,4,2,9,7,3,1,5,4,2,1,1,1,988065.0
1,80.23,4,4,2,4,3,0,5,4,2,1,1,1,826369.0
1,77.14,4,4,5,4,2,0,5,4,2,2,1,1,925680.0
1,71.89,4,4,5,7,1,0,5,4,2,1,1,1,573682.2
1,70.13,4,2,2,7,3,1,5,4,2,2,1,1,819118.3999999999
1,87.53,4,3,10,7,2,1,7,4,2,1,1,1,1085372.0
1,87.78,4,4,2,7,2,1,5,4,2,1,1,2,991914.0
1,72.54,4,2,5,7,2,1,5,4,3,2,1,1,855972.0000000001
1,69.31,4,2,5,5,2,1,5,4,3,1,1,1,866375.0
1,51.0,4,2,9,7,3,1,5,4,1,2,1,1,350880.0
1,77.67,4,2,2,5,3,1,5,4,2,1,1,1,846603.0
1,45.74,4,4,9,4,3,0,4,4,1,1,1,1,171525.0
1,47.59,4,3,8,7,2,1,3,4,1,1,1,1,304576.0
1,89.34,4,4,2,4,3,0,5,4,2,2,1,1,1215024.0
1,49.07,4,2,8,5,2,1,5,4,1,1,1,1,559398.0
1,68.78,4,3,9,6,2,0,5,4,2,1,1,1,543362.0
1,44.1,4,3,7,5,3,1,5,4,1,1,1,1,351918.0
1,74.85,4,4,9,4,3,0,5,4,2,1,1,1,583830.0
1,58.54,4,2,2,7,1,1,7,4,2,1,1,1,415634.0
1,75.48,4,2,7,7,3,1,7,4,2,2,1,1,694416.0
1,87.2,4,4,2,5,3,1,7,4,2,1,1,1,915600.0
1,53.96,4,2,9,7,3,1,7,4,1,1,1,1,350740.0
1,65.59,4,2,2,5,2,1,5,4,2,1,1,1,773962.0
1,55.14,4,4,9,7,2,1,5,4,1,1,1,1,419064.0
1,84.87,4,3,10,7,2,1,5,4,2,1,1,1,1475040.6
1,85.57,4,4,10,7,2,1,5,4,2,1,1,1,1078182.0
1,76.73,4,2,5,7,2,1,5,4,2,1,1,1,1058874.0
1,85.48,4,3,2,7,1,1,5,4,2,1,1,1,1034308.0
